# Force coefficients
# liftDir      : (0.0000000e+00 0.0000000e+00 1.0000000e+00)
# dragDir      : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# pitchAxis    : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# magUInf      : 2.5000000e+01
# lRef         : 6.4150000e-01
# Aref         : 2.6040000e+00
# CofR         : (1.0700000e+00 0.0000000e+00 0.0000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
100            	1.1597706e-02	6.5447272e-02	-1.2915906e-02	5.1397528e-03	-1.8055659e-02
101            	1.1568650e-02	6.5452017e-02	-1.2902986e-02	5.1171575e-03	-1.8020143e-02
102            	1.1538173e-02	6.5457235e-02	-1.2888526e-02	5.0939104e-03	-1.7982436e-02
103            	1.1510224e-02	6.5462396e-02	-1.2874578e-02	5.0729351e-03	-1.7947513e-02
104            	1.1485815e-02	6.5467092e-02	-1.2861995e-02	5.0548170e-03	-1.7916812e-02
105            	1.1463895e-02	6.5471332e-02	-1.2850467e-02	5.0386617e-03	-1.7889128e-02
106            	1.1442988e-02	6.5474877e-02	-1.2839495e-02	5.0232404e-03	-1.7862735e-02
107            	1.1410853e-02	6.5455265e-02	-1.2811236e-02	5.0052347e-03	-1.7816471e-02
108            	1.1386332e-02	6.5442296e-02	-1.2795739e-02	4.9884623e-03	-1.7784201e-02
109            	1.1368967e-02	6.5446421e-02	-1.2790821e-02	4.9735564e-03	-1.7764377e-02
110            	1.1355093e-02	6.5467172e-02	-1.2789653e-02	4.9602661e-03	-1.7749919e-02
111            	1.1339867e-02	6.5493855e-02	-1.2785157e-02	4.9472881e-03	-1.7732445e-02
112            	1.1320907e-02	6.5513345e-02	-1.2774750e-02	4.9335320e-03	-1.7708282e-02
113            	1.1298553e-02	6.5512809e-02	-1.2759892e-02	4.9186069e-03	-1.7678499e-02
114            	1.1275748e-02	6.5500907e-02	-1.2744222e-02	4.9036371e-03	-1.7647859e-02
115            	1.1255405e-02	6.5490230e-02	-1.2731082e-02	4.8898641e-03	-1.7620946e-02
116            	1.1237074e-02	6.5482540e-02	-1.2719999e-02	4.8770743e-03	-1.7597074e-02
117            	1.1220905e-02	6.5478819e-02	-1.2710263e-02	4.8657731e-03	-1.7576036e-02
118            	1.1206477e-02	6.5486043e-02	-1.2701715e-02	4.8556196e-03	-1.7557334e-02
119            	1.1192364e-02	6.5499298e-02	-1.2693158e-02	4.8457845e-03	-1.7538943e-02
120            	1.1177353e-02	6.5509153e-02	-1.2683574e-02	4.8355660e-03	-1.7519140e-02
121            	1.1161407e-02	6.5509658e-02	-1.2673056e-02	4.8248793e-03	-1.7497935e-02
122            	1.1145573e-02	6.5505111e-02	-1.2662509e-02	4.8143188e-03	-1.7476827e-02
123            	1.1130488e-02	6.5498463e-02	-1.2652546e-02	4.8042154e-03	-1.7456761e-02
124            	1.1116046e-02	6.5491953e-02	-1.2642687e-02	4.7947030e-03	-1.7437390e-02
125            	1.1102209e-02	6.5486695e-02	-1.2632412e-02	4.7860032e-03	-1.7418415e-02
126            	1.1089943e-02	6.5487925e-02	-1.2623316e-02	4.7782851e-03	-1.7401601e-02
127            	1.1078519e-02	6.5492309e-02	-1.2615323e-02	4.7708573e-03	-1.7386181e-02
128            	1.1067321e-02	6.5495996e-02	-1.2607819e-02	4.7634115e-03	-1.7371231e-02
129            	1.1055985e-02	6.5496742e-02	-1.2600166e-02	4.7559022e-03	-1.7356068e-02
130            	1.1044788e-02	6.5495121e-02	-1.2592447e-02	4.7485641e-03	-1.7341011e-02
131            	1.1033846e-02	6.5492125e-02	-1.2584688e-02	4.7415016e-03	-1.7326190e-02
132            	1.1022425e-02	6.5487725e-02	-1.2575578e-02	4.7346360e-03	-1.7310214e-02
133            	1.1011134e-02	6.5483097e-02	-1.2565555e-02	4.7283565e-03	-1.7293911e-02
134            	1.1000976e-02	6.5480781e-02	-1.2556651e-02	4.7226504e-03	-1.7279301e-02
135            	1.0991811e-02	6.5480140e-02	-1.2548877e-02	4.7173722e-03	-1.7266249e-02
136            	1.0983171e-02	6.5479413e-02	-1.2541632e-02	4.7123547e-03	-1.7253987e-02
137            	1.0974900e-02	6.5477871e-02	-1.2534754e-02	4.7075231e-03	-1.7242277e-02
138            	1.0966446e-02	6.5476090e-02	-1.2527327e-02	4.7027829e-03	-1.7230110e-02
139            	1.0957397e-02	6.5473666e-02	-1.2518537e-02	4.6981286e-03	-1.7216665e-02
140            	1.0948667e-02	6.5470474e-02	-1.2509767e-02	4.6937841e-03	-1.7203551e-02
141            	1.0940540e-02	6.5467161e-02	-1.2501444e-02	4.6898178e-03	-1.7191262e-02
142            	1.0933003e-02	6.5464167e-02	-1.2493597e-02	4.6862045e-03	-1.7179802e-02
143            	1.0925853e-02	6.5461540e-02	-1.2485989e-02	4.6828582e-03	-1.7168847e-02
144            	1.0919219e-02	6.5458737e-02	-1.2479187e-02	4.6796252e-03	-1.7158813e-02
145            	1.0912422e-02	6.5456033e-02	-1.2471683e-02	4.6765808e-03	-1.7148263e-02
146            	1.0904981e-02	6.5453768e-02	-1.2462496e-02	4.6737333e-03	-1.7136229e-02
147            	1.0897829e-02	6.5451156e-02	-1.2453620e-02	4.6710188e-03	-1.7124639e-02
148            	1.0891201e-02	6.5448018e-02	-1.2445492e-02	4.6684552e-03	-1.7113947e-02
149            	1.0885025e-02	6.5444575e-02	-1.2437924e-02	4.6660625e-03	-1.7103987e-02
150            	1.0879438e-02	6.5441296e-02	-1.2431382e-02	4.6637475e-03	-1.7095129e-02
