# Force coefficients
# liftDir      : (6.9756503e-02 0.0000000e+00 9.9756405e-01)
# dragDir      : (9.9756405e-01 0.0000000e+00 -6.9756503e-02)
# pitchAxis    : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# magUInf      : 2.5000000e+01
# lRef         : 6.4150000e-01
# Aref         : 2.6040000e+00
# CofR         : (1.0700000e+00 0.0000000e+00 0.0000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
100            	1.1597719e-02	6.6188943e-02	-8.3190562e-03	7.4381904e-03	-1.5757247e-02
101            	1.1945019e-02	6.8391884e-02	-8.1948867e-03	7.8475754e-03	-1.6042462e-02
102            	1.2204282e-02	6.9908155e-02	-8.1237052e-03	8.1424297e-03	-1.6266135e-02
103            	1.2385287e-02	7.0781070e-02	-8.1140542e-03	8.3282603e-03	-1.6442314e-02
104            	1.2490118e-02	7.1120306e-02	-8.1483936e-03	8.4159216e-03	-1.6564315e-02
105            	1.2545628e-02	7.1072517e-02	-8.2115577e-03	8.4398489e-03	-1.6651407e-02
106            	1.2607588e-02	7.0767229e-02	-8.3165888e-03	8.4492935e-03	-1.6765882e-02
107            	1.2701883e-02	7.0363610e-02	-8.4858552e-03	8.4589553e-03	-1.6944811e-02
108            	1.2866237e-02	6.9979442e-02	-8.7861312e-03	8.4731716e-03	-1.7259303e-02
109            	1.3146894e-02	6.9695130e-02	-9.3474422e-03	8.4731727e-03	-1.7820615e-02
110            	1.3644475e-02	6.9556224e-02	-1.0470903e-02	8.4090233e-03	-1.8879927e-02
111            	1.4499842e-02	6.9584886e-02	-1.2603464e-02	8.1981100e-03	-2.0801574e-02
112            	1.5763803e-02	6.9767439e-02	-1.5940203e-02	7.7937016e-03	-2.3733905e-02
113            	1.7245137e-02	7.0039848e-02	-1.9974048e-02	7.2581127e-03	-2.7232161e-02
114            	1.8716798e-02	7.0328767e-02	-2.4067428e-02	6.6830842e-03	-3.0750513e-02
115            	2.0290027e-02	7.0627223e-02	-2.8502128e-02	6.0389627e-03	-3.4541091e-02
116            	2.2049135e-02	7.0938256e-02	-3.3485056e-02	5.3066065e-03	-3.8791663e-02
117            	2.4409574e-02	7.1330246e-02	-4.0102982e-02	4.3580835e-03	-4.4461065e-02
118            	2.7435685e-02	7.1822109e-02	-4.8438663e-02	3.2163537e-03	-5.1655017e-02
119            	3.1426491e-02	7.2480817e-02	-5.9129870e-02	1.8615559e-03	-6.0991426e-02
120            	3.6277058e-02	7.3312581e-02	-7.1693332e-02	4.3039185e-04	-7.2123724e-02
121            	4.1084332e-02	7.4181727e-02	-8.3737698e-02	-7.8451688e-04	-8.2953181e-02
122            	4.4973333e-02	7.4938575e-02	-9.3176386e-02	-1.6148599e-03	-9.1561526e-02
123            	4.7800497e-02	7.5552593e-02	-9.9783351e-02	-2.0911784e-03	-9.7692173e-02
124            	4.9836864e-02	7.6084965e-02	-1.0421314e-01	-2.2697075e-03	-1.0194344e-01
125            	5.0828924e-02	7.6505454e-02	-1.0590557e-01	-2.1238601e-03	-1.0378171e-01
126            	5.0335911e-02	7.6715033e-02	-1.0409568e-01	-1.7119278e-03	-1.0238375e-01
127            	4.8125118e-02	7.6661554e-02	-9.8496653e-02	-1.1232087e-03	-9.7373445e-02
128            	4.4062221e-02	7.6308204e-02	-8.9091274e-02	-4.8341621e-04	-8.8607858e-02
129            	3.8638367e-02	7.5699501e-02	-7.7242094e-02	1.7319923e-05	-7.7259413e-02
130            	3.2225450e-02	7.4887511e-02	-6.3896315e-02	2.7729265e-04	-6.4173608e-02
131            	2.4512333e-02	7.3838008e-02	-4.8583534e-02	2.2056601e-04	-4.8804100e-02
132            	1.4986154e-02	7.2480475e-02	-3.0605728e-02	-3.1671051e-04	-3.0289018e-02
133            	3.2090211e-03	7.0748396e-02	-9.6446622e-03	-1.6133100e-03	-8.0313522e-03
134            	-1.1487871e-02	6.8535854e-02	1.4666793e-02	-4.1544750e-03	1.8821268e-02
135            	-2.7617535e-02	6.6046549e-02	3.8930634e-02	-8.1522176e-03	4.7082852e-02
136            	-4.1750244e-02	6.3768803e-02	5.7296490e-02	-1.3101999e-02	7.0398489e-02
137            	-4.9309253e-02	6.2397001e-02	6.3822869e-02	-1.7397818e-02	8.1220688e-02
138            	-4.9579987e-02	6.2068000e-02	5.8767120e-02	-2.0196428e-02	7.8963547e-02
139            	-4.4312391e-02	6.2582796e-02	4.6194712e-02	-2.1215035e-02	6.7409747e-02
140            	-3.4826671e-02	6.3730343e-02	2.8212677e-02	-2.0720333e-02	4.8933010e-02
141            	-2.2729270e-02	6.5286276e-02	7.5486378e-03	-1.8954951e-02	2.6503589e-02
142            	-9.5769804e-03	6.7030631e-02	-1.3437035e-02	-1.6295498e-02	2.8584628e-03
143            	5.2309825e-03	6.9028520e-02	-3.5793561e-02	-1.2665798e-02	-2.3127763e-02
144            	2.2705999e-02	7.1417875e-02	-6.1033193e-02	-7.8105980e-03	-5.3222595e-02
145            	4.2391022e-02	7.4163072e-02	-8.8682161e-02	-1.9500590e-03	-8.6732102e-02
146            	6.2857553e-02	7.7125476e-02	-1.1735166e-01	4.1817246e-03	-1.2153338e-01
147            	8.0506273e-02	7.9876898e-02	-1.4305492e-01	8.9788147e-03	-1.5203373e-01
148            	9.2429446e-02	8.2062565e-02	-1.6280237e-01	1.1028260e-02	-1.7383063e-01
149            	9.6629237e-02	8.3339097e-02	-1.7388018e-01	9.6891467e-03	-1.8356933e-01
150            	9.4288925e-02	8.3799968e-02	-1.7761094e-01	5.4834553e-03	-1.8309439e-01
151            	8.7384576e-02	8.3659542e-02	-1.7622415e-01	-7.2749979e-04	-1.7549665e-01
152            	7.6983266e-02	8.3089522e-02	-1.7134596e-01	-8.6897136e-03	-1.6265624e-01
153            	6.3804954e-02	8.2185779e-02	-1.6384122e-01	-1.8115655e-02	-1.4572556e-01
154            	4.9012591e-02	8.1056906e-02	-1.5463934e-01	-2.8307078e-02	-1.2633226e-01
155            	3.3121137e-02	7.9751444e-02	-1.4409038e-01	-3.8924053e-02	-1.0516633e-01
156            	1.7416862e-02	7.8369454e-02	-1.3298443e-01	-4.9075353e-02	-8.3909076e-02
