# Force coefficients
# liftDir      : (-1.3917301e-01 0.0000000e+00 9.9026808e-01)
# dragDir      : (9.9026808e-01 0.0000000e+00 1.3917301e-01)
# pitchAxis    : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# magUInf      : 2.5000000e+01
# lRef         : 6.4150000e-01
# Aref         : 2.6040000e+00
# CofR         : (1.0700000e+00 0.0000000e+00 0.0000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
250            	-3.6412313e-03	1.0806026e-01	3.2602747e-01	1.5937251e-01	1.6665497e-01
251            	-3.1487420e-03	1.0778147e-01	3.2332506e-01	1.5851379e-01	1.6481127e-01
252            	-2.7981082e-03	1.0742051e-01	3.2047806e-01	1.5744092e-01	1.6303714e-01
253            	-2.6623824e-03	1.0707744e-01	3.1817124e-01	1.5642324e-01	1.6174800e-01
254            	-2.7131579e-03	1.0687312e-01	3.1699488e-01	1.5578428e-01	1.6121060e-01
255            	-2.8415754e-03	1.0665893e-01	3.1590039e-01	1.5510862e-01	1.6079177e-01
256            	-3.0716149e-03	1.0638882e-01	3.1468817e-01	1.5427247e-01	1.6041570e-01
257            	-3.4487982e-03	1.0606674e-01	3.1351547e-01	1.5330894e-01	1.6020654e-01
258            	-4.0474848e-03	1.0573888e-01	3.1284098e-01	1.5237300e-01	1.6046797e-01
259            	-4.9182362e-03	1.0550296e-01	3.1327677e-01	1.5172015e-01	1.6155662e-01
260            	-6.1534562e-03	1.0542032e-01	3.1526329e-01	1.5147819e-01	1.6378510e-01
261            	-7.8999318e-03	1.0554267e-01	3.1922590e-01	1.5171302e-01	1.6751288e-01
262            	-1.0201746e-02	1.0590068e-01	3.2521428e-01	1.5240540e-01	1.7280889e-01
263            	-1.2831788e-02	1.0644760e-01	3.3242853e-01	1.5338248e-01	1.7904605e-01
264            	-1.5652868e-02	1.0713196e-01	3.4029540e-01	1.5449483e-01	1.8580057e-01
265            	-1.9101689e-02	1.0806051e-01	3.4987023e-01	1.5583342e-01	1.9403680e-01
266            	-2.4063954e-02	1.0951707e-01	3.6331440e-01	1.5759324e-01	2.0572115e-01
267            	-3.0381226e-02	1.1153226e-01	3.7980051e-01	1.5951903e-01	2.2028148e-01
268            	-3.6749819e-02	1.1377026e-01	3.9574454e-01	1.6112245e-01	2.3462209e-01
269            	-4.2177315e-02	1.1596027e-01	4.0867068e-01	1.6215802e-01	2.4651265e-01
270            	-4.5768313e-02	1.1781385e-01	4.1662221e-01	1.6254279e-01	2.5407942e-01
271            	-4.6993481e-02	1.1910022e-01	4.1871468e-01	1.6236386e-01	2.5635082e-01
272            	-4.5768950e-02	1.1972542e-01	4.1513670e-01	1.6179940e-01	2.5333730e-01
273            	-4.2050521e-02	1.1964587e-01	4.0613434e-01	1.6101665e-01	2.4511769e-01
274            	-3.6015539e-02	1.1883360e-01	3.9246203e-01	1.6021548e-01	2.3224656e-01
275            	-2.7129646e-02	1.1713279e-01	3.7332667e-01	1.5953369e-01	2.1379298e-01
276            	-1.5679910e-02	1.1450371e-01	3.4975343e-01	1.5919681e-01	1.9055663e-01
277            	-2.9351391e-03	1.1116910e-01	3.2458641e-01	1.5935807e-01	1.6522835e-01
278            	1.0084117e-02	1.0734075e-01	2.9993126e-01	1.6004975e-01	1.3988151e-01
279            	2.2227675e-02	1.0329973e-01	2.7792431e-01	1.6118983e-01	1.1673448e-01
280            	3.2335638e-02	9.9370182e-02	2.6050354e-01	1.6258741e-01	9.7916133e-02
281            	3.9849684e-02	9.5617702e-02	2.4844469e-01	1.6407203e-01	8.4372661e-02
282            	4.3161971e-02	9.2542097e-02	2.4409160e-01	1.6520777e-01	7.8883827e-02
283            	4.1026741e-02	9.0638291e-02	2.4897650e-01	1.6551499e-01	8.3461508e-02
284            	3.4008292e-02	9.0296187e-02	2.6154363e-01	1.6478011e-01	9.6763524e-02
